run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,278.41518122400475,3449.591503267974,3,20.0,0.0,20.0,76800.0,10.725278350972928,-0.0,CRUISE
W6_vector_01,278.6153446226976,3453.59477124183,3,20.0,0.0,20.0,76800.0,10.729548503478377,-0.0,CRUISE
W6_vector_01,278.8155080213904,3457.598039215686,3,20.0,0.0,20.0,76800.0,10.733818655983821,-0.0,CRUISE
W6_vector_01,279.0156714200832,3461.6013071895422,3,20.0,0.0,20.0,76800.0,10.73808880848927,-0.0,CRUISE
W6_vector_01,279.215834818776,3465.6045751633987,3,20.0,0.0,20.0,76800.0,10.742358960994716,-0.0,CRUISE
W6_vector_01,279.4159982174688,3469.607843137255,3,20.0,0.0,20.0,76800.0,10.746629113500164,-0.0,CRUISE
W6_vector_01,279.6161616161616,3473.6111111111113,3,20.0,0.0,20.0,76800.0,10.750899266005609,-0.0,CRUISE
W6_vector_01,279.81632501485444,3477.6143790849674,3,20.0,0.0,20.0,76800.0,10.755169418511057,-0.0,CRUISE
W6_vector_01,280.0164884135472,3481.6176470588234,3,20.0,0.0,20.0,76800.0,10.759439571016504,-0.0,CRUISE
W6_vector_01,280.21665181224006,3485.6209150326795,3,20.0,0.0,20.0,76800.0,10.76370972352195,-0.0,CRUISE
W6_vector_01,280.4168152109329,3489.624183006536,3,20.0,0.0,20.0,76800.0,10.767979876027399,-0.0,CRUISE
W6_vector_01,280.6169786096257,3493.627450980392,3,20.0,0.0,20.0,76800.0,10.772250028532845,-0.0,CRUISE
W6_vector_01,280.8171420083185,3497.6307189542486,3,20.0,0.0,20.0,76800.0,10.776520181038293,-0.0,CRUISE
W6_vector_01,281.0173054070113,3501.6339869281046,3,20.0,0.0,20.0,76800.0,10.780790333543738,-0.0,CRUISE
W6_vector_01,281.21746880570413,3505.6372549019607,3,20.0,0.0,20.0,76800.0,10.785060486049186,-0.0,CRUISE
W6_vector_01,281.4176322043969,3509.640522875817,3,20.0,0.0,20.0,76800.0,10.789330638554633,-0.0,CRUISE
W6_vector_01,281.61779560308975,3513.643790849673,3,20.0,0.0,20.0,76800.0,10.79360079106008,-0.0,CRUISE
W6_vector_01,281.8179590017825,3517.6470588235297,3,20.0,0.0,20.0,76800.0,10.797870943565526,-0.0,CRUISE
W6_vector_01,282.01812240047536,3521.650326797386,3,20.0,0.0,20.0,76800.0,10.802141096070974,-0.0,CRUISE
W6_vector_01,282.21828579916814,3525.653594771242,3,20.0,0.0,20.0,76800.0,10.806411248576419,-0.0,CRUISE
W6_vector_01,282.418449197861,3529.656862745098,3,20.0,0.0,20.0,76800.0,10.810681401081867,-0.0,CRUISE
W6_vector_01,282.6186125965538,3533.660130718954,3,20.0,0.0,20.0,76800.0,10.814951553587315,-0.0,CRUISE
W6_vector_01,282.8187759952466,3537.6633986928105,3,20.0,0.0,20.0,76800.0,10.819221706092762,-0.0,CRUISE
W6_vector_01,283.0189393939394,3541.6666666666665,3,20.0,0.0,20.0,76800.0,10.823491858598207,-0.0,CRUISE
W6_vector_01,283.2191027926322,3545.669934640523,3,20.0,0.0,20.0,76800.0,10.827762011103655,-0.0,CRUISE
